t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y,distance
1.6400000000000001,1.6669935182853088,0.0,0.0,-0.5668099304847246,0.0,0.0,1.4694653624123797,0.0,0.0,0.0,0.0,1.6669935182853088
1.6500000000000001,1.6613535024276866,0.0,0.0,-0.5612067204140615,0.0,0.0,1.5199799790755981,0.0,0.0,0.0,0.0,1.6613535024276866
1.6600000000000001,1.6557692652023621,0.0,0.0,-0.5556539722168063,0.0,0.0,1.5677917941450163,0.0,0.0,0.0,0.0,1.6557692652023621
1.67,1.650240300969869,0.0,0.0,-0.5501518925491866,0.0,0.0,1.61309018507373,0.0,0.0,0.0,0.0,1.650240300969869
1.68,1.6447661025037454,0.0,0.0,-0.5447005923665068,0.0,0.0,1.6560438939169027,0.0,0.0,0.0,0.0,1.6447661025037454
1.69,1.6393461618808849,0.0,0.0,-0.5393001002145844,0.0,0.0,1.696803631562815,0.0,0.0,0.0,0.0,1.6393461618808849
1.7,1.6339799712477832,0.0,0.0,-0.5339503737645063,0.0,0.0,1.7355043441139726,0.0,0.0,0.0,0.0,1.6339799712477832
1.71,1.6286670234790928,0.0,0.0,-0.5286513098219056,0.0,0.0,1.7722671854197651,0.0,0.0,0.0,0.0,1.6286670234790928
1.72,1.6234068127427272,0.0,0.0,-0.523402753011557,0.0,0.0,1.8072012340304153,0.0,0.0,0.0,0.0,1.6234068127427272
1.73,1.6181988349838912,0.0,0.0,-0.5182045033116781,0.0,0.0,1.840404987854042,0.0,0.0,0.0,0.0,1.6181988349838912
1.74,1.613042588338776,0.0,0.0,-0.5130563225893899,0.0,0.0,1.8719676654646653,0.0,0.0,0.0,0.0,1.613042588338776
1.75,1.6079375734872527,0.0,0.0,-0.5079579402688686,0.0,0.0,1.9019703392365823,0.0,0.0,0.0,0.0,1.6079375734872527
1.76,1.6028832939526598,0.0,0.0,-0.5029090582464169,0.0,0.0,1.930486922202081,0.0,0.0,0.0,0.0,1.6028832939526598
1.77,1.5978792563557196,0.0,0.0,-0.4979093551516554,0.0,0.0,1.95758502767632,0.0,0.0,0.0,0.0,1.5978792563557196
1.78,1.5929249706286903,0.0,0.0,-0.49295849004098546,0.0,0.0,1.9833267182125902,0.0,0.0,0.0,0.0,1.5929249706286903
1.79,1.588019950195056,0.0,0.0,-0.488056105598134,0.0,0.0,2.0077691582931645,0.0,0.0,0.0,0.0,1.588019950195056
1.8,1.5831637121193565,0.0,0.0,-0.4832018309067518,0.0,0.0,2.030965183284573,0.0,0.0,0.0,0.0,1.5831637121193565
1.81,1.578355777231155,0.0,0.0,-0.47839528385148083,0.0,0.0,2.0529637955529103,0.0,0.0,0.0,0.0,1.578355777231155
1.82,1.5735956702266125,0.0,0.0,-0.47363607319648493,0.0,0.0,2.073810597216038,0.0,0.0,0.0,0.0,1.5735956702266125
1.83,1.5688829197506802,0.0,0.0,-0.4689238003839857,0.0,0.0,2.0935481677739918,0.0,0.0,0.0,0.0,1.5688829197506802
1.84,1.5642170584625261,0.0,0.0,-0.46425806108974654,0.0,0.0,2.112216393784407,0.0,0.0,0.0,0.0,1.5642170584625261
1.85,1.5595976230864643,0.0,0.0,-0.45963844656758374,0.0,0.0,2.1298527568169905,0.0,0.0,0.0,0.0,1.5595976230864643
1.86,1.5550241544503576,0.0,0.0,-0.4550645448107587,0.0,0.0,2.1464925851071097,0.0,0.0,0.0,0.0,1.5550241544503576
1.87,1.5504961975132021,0.0,0.0,-0.4505359415544382,0.0,0.0,2.16216927362319,0.0,0.0,0.0,0.0,1.5504961975132021
1.8800000000000001,1.5460133013833801,0.0,0.0,-0.4460522211402232,0.0,0.0,2.176914476646987,0.0,0.0,0.0,0.0,1.5460133013833801
1.8900000000000001,1.5415750193288662,0.0,0.0,-0.441612967260981,0.0,0.0,2.1907582764323514,0.0,0.0,0.0,0.0,1.5415750193288662
