t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y
315.9395728111267,0.9610913005516347,0.0,0.0,9.235714595141175e-11,0.0,0.0,-22.20999999700295,0.0,0.0,1.0,0.0
315.9496524333954,0.9610913005525561,0.0,0.0,9.191441443547541e-11,0.0,0.0,-22.209999997031314,0.0,0.0,1.0,0.0
315.9596335887909,0.961091300553473,0.0,0.0,9.148207809010219e-11,0.0,0.0,-22.209999997031314,0.0,0.0,1.0,0.0
315.9696567058563,0.9610913005543856,0.0,0.0,9.104353076528579e-11,0.0,0.0,-22.209999997059462,0.0,0.0,1.0,0.0
315.979514837265,0.9610913005552939,0.0,0.0,9.061527829911687e-11,0.0,0.0,-22.209999997059462,0.0,0.0,1.0,0.0
315.98964190483093,0.9610913005561978,0.0,0.0,9.01808873009994e-11,0.0,0.0,-22.20999999708732,0.0,0.0,1.0,0.0
315.99968123435974,0.9610913005570976,0.0,0.0,8.97566953775822e-11,0.0,0.0,-22.20999999708732,0.0,0.0,1.0,0.0
316.01036262512207,0.961091300557993,0.0,0.0,8.932641577478479e-11,0.0,0.0,-22.209999997114924,0.0,0.0,1.0,0.0
316.01965522766113,0.9610913005588841,0.0,0.0,8.890623841782464e-11,0.0,0.0,-22.209999997114924,0.0,0.0,1.0,0.0
316.02968168258667,0.9610913005597711,0.0,0.0,8.848003398659997e-11,0.0,0.0,-22.209999997142265,0.0,0.0,1.0,0.0
316.0395383834839,0.9610913005606538,0.0,0.0,8.806383636557059e-11,0.0,0.0,-22.209999997142265,0.0,0.0,1.0,0.0
316.0495355129242,0.9610913005615324,0.0,0.0,8.764165869148716e-11,0.0,0.0,-22.209999997169362,0.0,0.0,1.0,0.0
316.05951476097107,0.9610913005624067,0.0,0.0,8.72293948300939e-11,0.0,0.0,-22.209999997169362,0.0,0.0,1.0,0.0
316.0697560310364,0.9610913005632769,0.0,0.0,8.681123868857276e-11,0.0,0.0,-22.209999997196146,0.0,0.0,1.0,0.0
316.07973074913025,0.9610913005641429,0.0,0.0,8.640290196901563e-11,0.0,0.0,-22.209999997196146,0.0,0.0,1.0,0.0
316.0895576477051,0.9610913005650049,0.0,0.0,8.598869386764637e-11,0.0,0.0,-22.209999997222738,0.0,0.0,1.0,0.0
316.0996286869049,0.9610913005658628,0.0,0.0,8.558421149412547e-11,0.0,0.0,-22.209999997222738,0.0,0.0,1.0,0.0
316.1096987724304,0.9610913005667165,0.0,0.0,8.517392983798182e-11,0.0,0.0,-22.209999997249053,0.0,0.0,1.0,0.0
316.119686126709,0.9610913005675663,0.0,0.0,8.477328021557087e-11,0.0,0.0,-22.209999997249053,0.0,0.0,1.0,0.0
316.12966799736023,0.961091300568412,0.0,0.0,8.43668842529371e-11,0.0,0.0,-22.20999999727512,0.0,0.0,1.0,0.0
316.139524936676,0.9610913005692536,0.0,0.0,8.397003080958352e-11,0.0,0.0,-22.20999999727512,0.0,0.0,1.0,0.0
316.14957308769226,0.9610913005700913,0.0,0.0,8.356749929383859e-11,0.0,0.0,-22.209999997300915,0.0,0.0,1.0,0.0
316.159686088562,0.961091300570925,0.0,0.0,8.31744186930898e-11,0.0,0.0,-22.209999997300915,0.0,0.0,1.0,0.0
316.1694827079773,0.9610913005717547,0.0,0.0,8.277570843438116e-11,0.0,0.0,-22.209999997326477,0.0,0.0,1.0,0.0
316.1797094345093,0.9610913005725805,0.0,0.0,8.238635853130037e-11,0.0,0.0,-22.209999997326477,0.0,0.0,1.0,0.0
316.1895179748535,0.9610913005734024,0.0,0.0,8.199140892451232e-11,0.0,0.0,-22.209999997351836,0.0,0.0,1.0,0.0
316.199747800827,0.9610913005742204,0.0,0.0,8.160573259703647e-11,0.0,0.0,-22.209999997351836,0.0,0.0,1.0,0.0
316.2097589969635,0.9610913005750346,0.0,0.0,8.121451751927431e-11,0.0,0.0,-22.209999997376944,0.0,0.0,1.0,0.0
316.21959471702576,0.9610913005758448,0.0,0.0,8.083248690298238e-11,0.0,0.0,-22.209999997376944,0.0,0.0,1.0,0.0
316.2298595905304,0.9610913005766512,0.0,0.0,8.044497744490931e-11,0.0,0.0,-22.2099999974018,0.0,0.0,1.0,0.0
316.2398190498352,0.9610913005774537,0.0,0.0,8.006656746182238e-11,0.0,0.0,-22.2099999974018,0.0,0.0,1.0,0.0
316.2494959831238,0.9610913005782524,0.0,0.0,7.968273750054371e-11,0.0,0.0,-22.209999997426404,0.0,0.0,1.0,0.0
316.25962686538696,0.9610913005790473,0.0,0.0,7.930791889301974e-11,0.0,0.0,-22.209999997426404,0.0,0.0,1.0,0.0
316.269823551178,0.9610913005798385,0.0,0.0,7.892774091241972e-11,0.0,0.0,-22.209999997450762,0.0,0.0,1.0,0.0
316.27961444854736,0.9610913005806259,0.0,0.0,7.855649104061663e-11,0.0,0.0,-22.209999997450762,0.0,0.0,1.0,0.0
316.28945660591125,0.9610913005814096,0.0,0.0,7.81799218508427e-11,0.0,0.0,-22.209999997474906,0.0,0.0,1.0,0.0
316.29956340789795,0.9610913005821895,0.0,0.0,7.78121940418553e-11,0.0,0.0,-22.209999997474906,0.0,0.0,1.0,0.0
316.30948209762573,0.9610913005829658,0.0,0.0,7.743917477931806e-11,0.0,0.0,-22.209999997498862,0.0,0.0,1.0,0.0
316.3196394443512,0.9610913005837384,0.0,0.0,7.707491260769381e-11,0.0,0.0,-22.209999997498862,0.0,0.0,1.0,0.0
316.32951736450195,0.9610913005845073,0.0,0.0,7.670541714949858e-11,0.0,0.0,-22.20999999752258,0.0,0.0,1.0,0.0
316.33969354629517,0.9610913005852726,0.0,0.0,7.634459553725857e-11,0.0,0.0,-22.20999999752258,0.0,0.0,1.0,0.0
316.3494529724121,0.9610913005860342,0.0,0.0,7.597859323254222e-11,0.0,0.0,-22.209999997546067,0.0,0.0,1.0,0.0
316.3596227169037,0.9610913005867922,0.0,0.0,7.562118222543385e-11,0.0,0.0,-22.209999997546067,0.0,0.0,1.0,0.0
316.36948561668396,0.9610913005875465,0.0,0.0,7.525866959114378e-11,0.0,0.0,-22.20999999756928,0.0,0.0,1.0,0.0
316.37957310676575,0.9610913005882974,0.0,0.0,7.490466849255654e-11,0.0,0.0,-22.20999999756928,0.0,0.0,1.0,0.0
316.38941955566406,0.9610913005890447,0.0,0.0,7.454557900238756e-11,0.0,0.0,-22.209999997592334,0.0,0.0,1.0,0.0
316.39955019950867,0.9610913005897884,0.0,0.0,7.419491954448995e-11,0.0,0.0,-22.209999997592334,0.0,0.0,1.0,0.0
316.4095380306244,0.9610913005905286,0.0,0.0,7.383922254757898e-11,0.0,0.0,-22.209999997615164,0.0,0.0,1.0,0.0
316.4195508956909,0.9610913005912652,0.0,0.0,7.349187756256055e-11,0.0,0.0,-22.209999997615164,0.0,0.0,1.0,0.0
316.42945551872253,0.9610913005919984,0.0,0.0,7.313956574449704e-11,0.0,0.0,-22.209999997637738,0.0,0.0,1.0,0.0
316.4395020008087,0.9610913005927281,0.0,0.0,7.279552652472621e-11,0.0,0.0,-22.209999997637738,0.0,0.0,1.0,0.0
316.4498555660248,0.9610913005934543,0.0,0.0,7.244655321260499e-11,0.0,0.0,-22.20999999766012,0.0,0.0,1.0,0.0
316.45956897735596,0.961091300594177,0.0,0.0,7.210577238856602e-11,0.0,0.0,-22.20999999766012,0.0,0.0,1.0,0.0
316.46952509880066,0.9610913005948963,0.0,0.0,7.176011006627134e-11,0.0,0.0,-22.20999999768228,0.0,0.0,1.0,0.0
316.4796121120453,0.9610913005956122,0.0,0.0,7.142256290829061e-11,0.0,0.0,-22.20999999768228,0.0,0.0,1.0,0.0
316.48952436447144,0.9610913005963247,0.0,0.0,7.108018754275934e-11,0.0,0.0,-22.209999997704227,0.0,0.0,1.0,0.0
316.4994854927063,0.9610913005970338,0.0,0.0,7.074584862455267e-11,0.0,0.0,-22.209999997704227,0.0,0.0,1.0,0.0
316.50956535339355,0.9610913005977396,0.0,0.0,7.040669995897439e-11,0.0,0.0,-22.209999997726005,0.0,0.0,1.0,0.0
316.51947569847107,0.961091300598442,0.0,0.0,7.007551390000503e-11,0.0,0.0,-22.209999997726005,0.0,0.0,1.0,0.0
316.529452085495,0.9610913005991412,0.0,0.0,6.973957242928502e-11,0.0,0.0,-22.209999997747563,0.0,0.0,1.0,0.0
316.53949093818665,0.9610913005998369,0.0,0.0,6.94115183312372e-11,0.0,0.0,-22.209999997747563,0.0,0.0,1.0,0.0
316.549599647522,0.9610913006005294,0.0,0.0,6.907875723587025e-11,0.0,0.0,-22.20999999776891,0.0,0.0,1.0,0.0
316.559538602829,0.9610913006012185,0.0,0.0,6.87538079309335e-11,0.0,0.0,-22.20999999776891,0.0,0.0,1.0,0.0
316.569522857666,0.9610913006019044,0.0,0.0,6.842421850328803e-11,0.0,0.0,-22.209999997790018,0.0,0.0,1.0,0.0
316.5796785354614,0.9610913006025871,0.0,0.0,6.810236807027287e-11,0.0,0.0,-22.209999997790018,0.0,0.0,1.0,0.0
316.5896077156067,0.9610913006032664,0.0,0.0,6.777588448065425e-11,0.0,0.0,-22.209999997810986,0.0,0.0,1.0,0.0
316.59957122802734,0.9610913006039425,0.0,0.0,6.745706708986605e-11,0.0,0.0,-22.209999997810986,0.0,0.0,1.0,0.0
316.60979771614075,0.9610913006046155,0.0,0.0,6.713370361879004e-11,0.0,0.0,-22.209999997831684,0.0,0.0,1.0,0.0
